"fips","POP","DENSITY","medianAge","MedianHInc","per_dem","per_gop"
38075,2374,2.7067919431,41,68182,0.159362549801,0.779282868526
38077,16239,11.310363815,37.8,61990,0.276675603217,0.637935656836
38079,14301,15.835891551,30.8,39884,0.572637902785,0.330420535227
38081,3870,4.507833282,45.1,67200,0.350353892821,0.550050556117
38083,1349,1.3873140507,51.5,49261,0.121447028424,0.832041343669
38085,4358,3.9832034529,28.2,40862,0.644010195412,0.217502124044
38087,763,0.6280416483,50.8,63942,0.0983606557377,0.845433255269
38089,30997,23.222415599,33.9,75708,0.144036318613,0.802146099876
38091,1903,2.67196731,50.5,65848,0.366869918699,0.545731707317
38093,20917,9.4146569352,40.2,57642,0.249949688066,0.674783658684
38095,2192,2.1394589428,47.8,53696,0.268249780123,0.644678979771
38097,8037,9.3242161615,41.3,62870,0.320652173913,0.58566252588
38099,10667,8.3227439892,44.4,54414,0.256658595642,0.658375522782
38101,67744,33.653179226,31.4,67753,0.21562860653,0.692490972041
38103,3957,3.1142096419,52.1,57989,0.178146258503,0.762329931973
38105,35350,17.012000161,31.5,86575,0.137441136563,0.80078218533
39001,27724,47.483403808,42,36894,0.207267468137,0.763355328573
39003,102663,255.06097707,39,50552,0.287100098575,0.668921946411
39005,53745,127.06834309,40.3,52730,0.235066877129,0.713176040542
39007,97493,138.8645251,42.4,44823,0.381597126278,0.571604411063
39009,65818,130.68808796,28.9,37778,0.556601410114,0.387101392219
39011,45804,114.11229643,41.3,61758,0.167322834646,0.793088363955
39013,67505,126.8591462,44.5,49361,0.283328421259,0.678815862724
39015,43602,88.980555034,41.8,52356,0.223104655416,0.744918752286
39017,382378,819.46238193,36.5,63358,0.336654356319,0.620114949353
39019,27081,68.627534962,45.3,52394,0.243929101273,0.707972202702
39021,38754,90.336856166,42.4,57103,0.255043473319,0.699778371313
39023,134585,339.1232996,41.1,48502,0.380174438108,0.575494800403
39025,205466,454.46069944,39.8,64822,0.270551034161,0.68384220621
39027,42057,102.90812995,39.9,51354,0.217845303867,0.743977900552
39029,102665,193.00593466,44,46306,0.271160601843,0.686816464506
39031,36629,64.951350813,41.4,44491,0.261212485796,0.693870730566
39033,41550,103.41338576,43,42892,0.241578440808,0.709282429687
